CityName,CityUniqueID_,Annual number of public transit trips per capita_52,Average life expectancy_198,City unemployment rate_212,Commercial/industrial assessment as a percentage of total assessment_61,Debt service ratio (debt service expenditures as a percent of a municipality's own-source revenue)_106,"Green area (hectares) per 100,000 population_113",Greenhouse gas emissions measured in tonnes per capita_121,"Km of high capacity public transit system per 100,000 population_200","Km of light passenger transit system per 100,000 population_201","Number of cell phone connections per 100,000 population_177","Number of fire related deaths per 100,000 population_36","Number of firefighters per 100,000 population_32","Number of homicides per 100,000 population_44","Number of in-patient hospital beds per 100,000 population_40","Number of internet connections per 100,000 population_125",Number of personal automobiles per capita_202,"Number of physicians per 100,000 population_41","Number of police officers per 100,000 population_45",Percentage of city population living in poverty_124,Percentage of city population living in slums_122,Percentage of city population served by wastewater collection_56,Percentage of city population with authorized electrical service_103,Percentage of city population with potable water supply service_59,Percentage of city population with regular solid waste collection_47,Percentage of city population with sustainable access to an improved water source_204,Percentage of female population enrolled in schools_141,Percentage of students completing primary education_139,Percentage of students completing secondary education_140,Percentage of the city's solid waste that is recycled_146,Percentage of the city's wastewater receiving primary treatment_155,Percentage of the city's wastewater receiving secondary treatment_156,Percentage of the city's wastewater receiving tertiary treatment_157,Percentage of the city's wastewater that has received no treatment_154,PM10 Concentration_214,Student/teacher ratio_28,Total domestic water consumption per capita (litres/day)_61,Total electrical use per capita (kWh/year)_104,"Under age five mortality per 1,000 live births_38",Voter participation in last municipal election (as a percent of eligible voters)_114
ABUJA,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEN,389,,63,,,,,,,,,,,8.39,206.66,,0.07,208.26,,16.88,,80.65,92.76,92.45,,,79.55,,,,,,,,,19.95,,,89.36,
AGUASCALIENTES,202,,,,,,,,,,,,,,76.01,,0.42,,,,,,,,,,,,,,,,,,,,,,,
AJLOUN,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-AHSA,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAMINOS,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAOTRA MANGORO,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-BIREH,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDRIA,354,,,,,,22.24,,,,,,,,146.82,,,,,6.73,29.19,59.1,96.4,,54.13,95.4,71.46,,,,,,,,,,,1452.17,,
AL-FAYHAA,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-JANUBIYAH,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-MADINAH AL-MUNAWARAH,208,,73,23.6,,,450,,,,,0,,0.5,251,5200,0.18,174,,15.9,,38.7,100,82.6,89.8,78.6,,85.2,83,15,58,,,,,17.9,,,15.4,
AL-MANAMAH,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-MUHARRAQ,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-MUKALLA,384,,,,,,,,,,,,17.51,,182.88,,,56.42,3.89,,16,61.91,95,,55,87.6,,,,,10,,,90,,,58.69,,36.13,
AL-NAJAF,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-QURAYYAT,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-WUSTA,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMMAN,45,0,73.3,10.3,11.1,62,807.24,2.17,0,40.03,140638.7,0.57,35.09,30.16,245.01,4096.99,0.18,113.93,190.31,24.6,8.3,80.9,99.9,99.8,100,99.8,89.19,95.96,50.15,0,0,100,0,0,30,17.22,151.12,2160,21,48
ANJOZOROBE,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTANANARIVO,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,,,,,
ANTIPOLO,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASH-SHAMALAYAH,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSIUT,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASWAN,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGUIO,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIA MARE,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAIA MARE METROPOLITAN AREA,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALANGA,209,,65,5.08,,14.16,10042.18,,14.43,,,0,30.35,1.12,510.3,107.9,0.31,105.66,56.2,10.77,6.79,,95.91,78.65,97.75,100,96.19,89.52,81.57,8.11,,,,,,39.26,82.45,,18.51,75.43
BAMAKO,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANFF,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANGUI,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANJUL,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARCELONA,249,371.35,83.3,18.7,,,68.03,,6.79,54.94,,,38.37,,487.79,,0.36,70,181.99,,0,100,,100,100,,,98.94,84.73,37.07,,,,,31,21.27,108.2,,,51.5
BASRAH,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
BAYAWAN,118,,70,,,,,,96.36,,,0,24,0.91,45.45,,,12.73,30,,0.48,31.75,22.93,,24.02,,86.69,,,,,,,,,45.52,,,1.14,70.13
BEIT JALA,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
