CityName,CityUniqueID,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,shelter,solid waste,technology and innovation,transportation,urban planning,wastewater,water and sanitation,all
ABUJA,186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADEN,389,1,2,1,0,0,0,0,4,1,0,0,0,1,0,1,1,12
AGUASCALIENTES,202,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
AJLOUN,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-AHSA,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAMINOS,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALAOTRA MANGORO,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-BIREH,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEXANDRIA,354,2,1,2,0,0,0,0,1,0,1,1,0,0,1,1,1,11
AL-FAYHAA,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-JANUBIYAH,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-MADINAH AL-MUNAWARAH,208,2,3,1,0,0,1,0,4,1,0,2,1,1,1,2,2,21
AL-MANAMAH,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-MUHARRAQ,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-MUKALLA,384,0,0,2,0,0,1,0,3,1,1,1,0,0,0,3,2,14
AL-NAJAF,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-QURAYYAT,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-WUSTA,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMMAN,45,3,4,2,2,1,2,1,4,2,1,2,2,4,1,5,3,39
ANJOZOROBE,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTANANARIVO,315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ANTIPOLO,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASH-SHAMALAYAH,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
