CityName,Country
Accra,Ghana
Amman,Jordan
Amsterdam,Netherlands
Ancaster,Canada
Austin,USA
Barcelona,Spain
Beijing,China
Bethesda,United States
Bogotá,Colombia
Bonn,Germany
Buenos Aires,Argentina
Bulawayo,Zimbabwe
Cairo,"Egypt, Arab Republic of"
Charlottenlund,Denmark
Chatham-Kent,Canada
Chicago,USA
Chiyoda-ku,Japan
Dar es Salaam,Tanzania
Dhaka,Bangladesh
Dubai,United Arab Emirates
Dundas,Canada
Edmonton,Canada
Geneva,Switzerland
Gorontalo,Indonesia
Guelph,Canada
Haiphong,Vietnam
Hamilton,Canada
Helsinki,Finland
Huixquilucan,Mexico
Ile de France (Paris),France
Ismailia,"Egypt, Arab Republic of"
Istanbul,Turkey
Guadalajara,Mexico
Johannesburg,South Africa
Kampala,Uganda
Kitchener,Canada
Kolwezi,"Congo, D.R. of"
La Plaine Saint Denis,France
London,Canada
London,United Kingdom
Los Angeles,USA
Louisville,USA
Lubumbashi,"Congo, D.R. of"
Makati,Philippines
Makkah,Saudi Arabia
Markham,Canada
Mbabane,Swaziland
Mexico City,Mexico
Minna,Nigeria
Mississauga,Canada
Monrovia,Liberia
Montreal,Canada
Nairobi,Kenya
Najrān,Saudi Arabia
N'Djamena,Chad
New York City,United States
Newmarket,Canada
Niagara Falls,Canada
Oakville,Canada
Ottawa,Canada
Paris,France
Pasig,Philippines
Pickering,Canada
Port Said,"Egypt, Arab Republic of"
Poughkeepsie,USA
Redmond,USA
Region of Peel,Canada
Region of Waterloo,Canada
Richmond Hill,Canada
Riethoven,Netherlands
Riyadh,Saudi Arabia
Rotterdam,Netherlands
San Jose del Monte,Philippines
Sekondi-Takoradi,Ghana
Shanghai,China
Silicon Valley,USA
Sohag,"Egypt, Arab Republic of"
Taif,Saudi Arabia
Thorold,Canada
Toronto,Canada
Toshiba,Japan
Trujillo,Peru
Vancouver,Canada
Vaughan,Canada
Washington,USA
Waterloo,Canada
Whitby,Canada
Yokohama,Japan
Zarqa,Jordan
