CityName,CityUniqueID_,economy,education,energy,environment,finance,fire and emergency response,governance,health,safety,solid waste,telecommunication and innovation,transportation,shelter,urban planning,wastewater,water and sanitation,all
Beijing,C001,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tianjin,C002,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shijiazhuang,C003,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tangshan,C004,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Qinhuangdao,C005,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Handan,C006,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xingtai,C007,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Baoding,C008,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Zhangjiakou,C009,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Chengde,C010,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Cangzhou,C011,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Langfang,C012,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hengshui,C013,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Taiyuan,C014,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,2,17
Datong,C015,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jinzhou,C040,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yangquan,C016,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Changzhi,C017,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jincheng,C018,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shuozhou,C019,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Jinzhong,C020,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yuncheng,C021,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Xinzhou,C022,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Linfen,C023,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Lvliang,C024,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Hohhot,C025,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Baotou,C026,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Wuhai,C027,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Chifeng,C028,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Tongliao,C029,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ordos City,C030,1,1,1,1,1,0,0,3,0,1,2,1,0,1,1,3,17
Hulunbuir,C031,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Bayannur,C032,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Ulanqab,C033,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Shenyang,C034,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Dalian,C035,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Anshan,C036,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Fushun,C037,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Benxi,C038,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Dandong,C039,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Yingkou,C041,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Fuxin,C042,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Liaoyang,C043,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
Panjin,C044,1,1,1,1,1,0,0,3,0,1,2,1,0,1,2,3,18
